x_m,y_m,w_tr_right_m,w_tr_left_m,banking_rad
-36.5006,-2404.5912,7.4130,6.8400,-0.1401
-32.5009,-2404.5536,7.3486,6.8710,-0.1361
-28.5008,-2404.4877,7.2881,6.9021,-0.1322
-24.5006,-2404.3997,7.2293,6.9357,-0.1298
-20.5003,-2404.2953,7.1709,6.9730,-0.1266
-16.4998,-2404.1795,7.1118,7.0153,-0.1240
-12.4992,-2404.0573,7.0514,7.0632,-0.1221
-8.4984,-2403.9331,6.9897,7.1165,-0.1213
-4.4974,-2403.8107,6.9428,7.1579,-0.1211
-0.4961,-2403.6935,6.9313,7.1686,-0.1211
3.5056,-2403.5833,6.9449,7.1552,-0.1210
7.5077,-2403.4808,6.9686,7.1315,-0.1209
11.5101,-2403.3857,6.9927,7.1074,-0.1208
15.5128,-2403.2977,7.0124,7.0877,-0.1207
19.5157,-2403.2156,7.0261,7.0739,-0.1207
23.5189,-2403.1384,7.0345,7.0655,-0.1206
27.5221,-2403.0649,7.0387,7.0613,-0.1205
31.5253,-2402.9936,7.0402,7.0597,-0.1204
35.5284,-2402.9234,7.0406,7.0594,-0.1203
39.5312,-2402.8537,7.0404,7.0595,-0.1202
43.5338,-2402.7840,7.0402,7.0597,-0.1201
47.5360,-2402.7143,7.0401,7.0599,-0.1200
51.5379,-2402.6445,7.0400,7.0600,-0.1199
55.5394,-2402.5747,7.0400,7.0600,-0.1198
59.5406,-2402.5049,7.0400,7.0600,-0.1198
63.5415,-2402.4351,7.0400,7.0600,-0.1197
67.5423,-2402.3653,7.0400,7.0600,-0.1196
71.5429,-2402.2954,7.0400,7.0600,-0.1196
75.5436,-2402.2256,7.0400,7.0600,-0.1195
79.5443,-2402.1558,7.0400,7.0600,-0.1195
83.5452,-2402.0860,7.0400,7.0600,-0.1194
87.5462,-2402.0162,7.0400,7.0600,-0.1194
91.5475,-2401.9463,7.0400,7.0600,-0.1194
95.5490,-2401.8765,7.0400,7.0600,-0.1194
99.5506,-2401.8066,7.0400,7.0600,-0.1195
