x_m,y_m,w_tr_right_m,w_tr_left_m,banking_rad
208.1644,599.7753,7.6626,7.6604,-0.1571
208.0197,599.5690,7.6620,7.6597,-0.1571
207.8749,599.3625,7.6613,7.6590,-0.1571
207.7303,599.1559,7.6606,7.6583,-0.1571
207.5857,598.9492,7.6598,7.6575,-0.1571
207.4413,598.7424,7.6592,7.6567,-0.1571
207.2969,598.5355,7.6584,7.6559,-0.1571
207.1526,598.3285,7.6577,7.6551,-0.1571
207.0083,598.1214,7.6569,7.6543,-0.1571
206.8642,597.9141,7.6562,7.6536,-0.1571
206.7202,597.7068,7.6554,7.6527,-0.1571
206.5763,597.4993,7.6548,7.6520,-0.1571
206.4324,597.2917,7.6540,7.6512,-0.1571
206.2887,597.0839,7.6534,7.6505,-0.1571
206.1452,596.8761,7.6526,7.6497,-0.1571
206.0017,596.6682,7.6520,7.6491,-0.1571
205.8584,596.4602,7.6513,7.6484,-0.1571
205.7152,596.2520,7.6508,7.6478,-0.1571
205.5722,596.0438,7.6501,7.6471,-0.1571
205.4293,595.8355,7.6496,7.6466,-0.1571
205.2865,595.6272,7.6491,7.6460,-0.1571
205.1439,595.4187,7.6486,7.6456,-0.1571
205.0014,595.2101,7.6482,7.6451,-0.1571
204.8590,595.0014,7.6478,7.6448,-0.1571
204.7168,594.7926,7.6475,7.6444,-0.1571
204.5747,594.5837,7.6472,7.6441,-0.1571
204.4327,594.3748,7.6470,7.6439,-0.1571
